Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,LinearRegression_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead
2024-12-11,53.529998779296875,51.08000183105469,52.01750061035156,-0.018022757116290786,False,False,True,SUN,,,
2024-12-12,53.68000030517578,51.439998626708984,53.01630023956299,-0.029732395616654153,False,False,True,SUN,,,
2024-12-16,53.02000045776367,51.439998626708984,51.900899963378905,-0.008880411264450723,False,False,True,SUN,,,
2024-12-17,51.970001220703125,51.77000045776367,53.34560039520264,-0.029535705395878523,True,False,False,SUN,,,
2024-12-18,50.86000061035156,51.849998474121094,52.01190113067627,-0.0031128002060222455,True,True,True,SUN,,,
2024-12-20,51.08000183105469,51.7599983215332,53.499999809265134,-0.03252339241000515,True,True,True,SUN,,,
2024-10-01,33.9900016784668,35.209999084472656,,-0.02916248852950488,True,True,True,TRN,36.267654132091835,,
2024-10-02,33.81999969482422,35.77000045776367,,-0.0003834723450770772,True,True,True,TRN,35.78372252575621,,
2024-10-04,33.9900016784668,35.34000015258789,,0.002921128473465018,True,True,True,TRN,35.237068149494974,,
2024-10-08,34.22999954223633,34.779998779296875,,-0.02160818268679852,True,True,True,TRN,35.54812925031153,,
2024-10-09,35.11000061035156,34.7599983215332,,-0.05444363975580971,True,False,False,TRN,36.76142404938868,,
2024-10-10,35.459999084472656,35.7599983215332,,-0.02120922381498651,True,True,True,TRN,36.53487465514669,,
2024-10-11,35.97999954223633,35.439998626708984,,-0.03843684736944901,True,False,False,TRN,36.856652139545574,,
2024-10-14,36.630001068115234,36.150001525878906,,-0.026446926711034983,True,False,False,TRN,37.13202959110689,,
2024-10-15,35.209999084472656,35.63999938964844,,-0.04185802481417172,True,True,True,TRN,37.19699200396286,,
2024-10-18,35.34000015258789,32.58000183105469,,-0.0907757937613763,True,False,False,TRN,35.83274797075095,,
2024-10-21,34.189998626708984,33.0099983215332,,-0.10819197017895331,True,False,False,TRN,37.01469062591543,,
