,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher
36,BAX,36,23,0.6388888888888888,15,22,0.6818181818181818,0.0017270609092116468,36.31999969482422,2024-10-04,38.147344475594785,38.21322726302882,True
6,KR,36,23,0.6388888888888888,15,22,0.6818181818181818,0.0011243724430149064,55.88999938964844,2024-10-04,54.6857001876831,54.747187282001114,False
14,CSCO,36,22,0.6111111111111112,17,25,0.68,0.002805001655091501,52.75,2024-10-04,50.29661560058594,50.43769769059109,False
19,XLY,36,20,0.5555555555555556,17,25,0.68,0.00032079873427152787,198.1699981689453,2024-10-04,188.87290161132813,188.93349179910322,False
32,ARCC,36,24,0.6666666666666666,12,18,0.6666666666666666,-0.0004645744991217118,21.049999237060547,2024-10-04,20.301499786376954,20.29206822728228,False
18,XLI,36,19,0.5277777777777778,18,27,0.6666666666666666,0.0011006053353545728,135.50999450683594,2024-10-04,130.44439918518066,130.587966986891,False
0,AAPL,36,25,0.6944444444444444,14,21,0.6666666666666666,0.0017954095994238337,226.8000030517578,2024-10-04,221.08770095825196,221.48464393886698,False
20,XLF,36,24,0.6666666666666666,15,23,0.6521739130434783,0.0014761805727117865,45.650001525878906,2024-10-04,44.880500297546384,44.946752020179204,False
11,CAT,36,22,0.6111111111111112,17,27,0.6296296296296297,0.0005898454089609726,397.0899963378906,2024-10-04,363.13379974365233,363.3479925482697,False
40,EMR,36,25,0.6944444444444444,11,18,0.6111111111111112,-0.0012727946953395002,111.44000244140625,2024-10-04,104.15710174560547,104.02453113902173,False
23,XLB,36,18,0.5,14,23,0.6086956521739131,0.0035888116043080996,95.16999816894531,2024-10-04,91.08935546875,91.4162580046852,False
30,ADBE,36,22,0.6111111111111112,9,15,0.6,0.00032428351407150864,507.2200012207031,2024-10-04,533.1866961669922,533.3595998224814,True
29,EA,36,23,0.6388888888888888,9,15,0.6,0.0007034510762582326,142.6999969482422,2024-10-04,145.83658621447967,145.93917511801007,True
