,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher,stop_loss ,adj_prediction_price_w_high_inc
13,KO,37,26,0.7027027027027027,9,14,0.6428571428571429,0.00012682704575885874,65.30999755859375,2024-10-31,67.42269828796387,67.43124930960482,True,-0.024228088794472302,67.8444889921313
51,AMD,37,23,0.6216216216216216,12,19,0.631578947368421,0.001433736530443938,144.07000732421875,2024-10-31,158.98740234375,159.21534839037062,True,-0.10662402772658325,162.2933849288758
42,QSR,37,26,0.7027027027027027,10,16,0.625,0.0013206223972943324,69.55000305175781,2024-10-31,69.79359962463379,69.88577061548587,True,-0.03873993768599094,70.55311231274482
43,SUN,37,26,0.7027027027027027,10,16,0.625,0.0008364403853075881,50.79999923706055,2024-10-31,52.464999771118165,52.50888361574189,True,-0.03806094052763597,53.161449592884104
48,SYY,37,22,0.5945945945945946,8,13,0.6153846153846154,-0.004303346384771424,74.94999694824219,2024-10-31,77.16440071105957,76.83233556622658,True,-0.05086616285810511,77.44725893299606
38,CNI,37,27,0.7297297297297297,9,15,0.6,0.0009548867023850785,107.91999816894531,2024-10-31,112.86899963378906,112.97677674065086,True,-0.03531519563275307,113.78494346553349
45,UNP,37,26,0.7027027027027027,9,15,0.6,0.005266678397195381,232.07000732421875,2024-10-31,243.4212026977539,244.70322388742144,True,-0.03063424917231365,246.60052311032337
0,AAPL,37,22,0.5945945945945946,15,25,0.6,0.0004905707971252936,225.91000366210938,2024-10-31,228.32019821166992,228.4322054333064,True,-0.06770410343092315,230.09755490647353
37,CPB,37,24,0.6486486486486487,8,14,0.5714285714285714,-0.006587123263334628,46.650001525878906,2024-10-31,49.608600578308106,49.28182261137726,True,-0.03694047688025738,49.67497154937217
29,EA,37,23,0.6216216216216216,12,21,0.5714285714285714,7.425418629516609e-06,150.85000610351562,2024-10-31,144.3890995788574,144.39017172836733,False,-0.030826699886982865,145.50196294547266
25,XLV,37,22,0.5945945945945946,10,19,0.5263157894736842,-0.00014363744327315067,146.8699951171875,2024-10-31,147.97760009765625,147.95634497351654,True,-0.01716797200815814,148.6554030518399
30,ADBE,37,20,0.5405405405405406,4,12,0.3333333333333333,-0.004341842003944588,478.0799865722656,2024-10-31,510.00159576416013,507.7872494135925,True,-0.03759726506619644,512.9531618094552
