,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher
11,CAT,36,27,0.75,13,17,0.7647058823529411,0.0007133014452611647,345.30999755859375,2024-09-13,342.4884973144531,342.73279485457283,False
23,XLB,36,25,0.6944444444444444,16,21,0.7619047619047619,-0.0013456162079372043,92.69000244140625,2024-09-13,90.70990051269531,90.58783980034507,False
45,UNP,36,23,0.6388888888888888,19,25,0.76,-0.00269950418583539,249.1199951171875,2024-09-13,-107225.77950537091,-106936.3230647667,False
18,XLI,36,25,0.6944444444444444,18,24,0.75,-0.00038886699135784876,130.57000732421875,2024-09-13,125.6708655947957,125.6219963433905,False
2,DRI,36,23,0.6388888888888888,15,20,0.75,0.004975920958758822,160.25,2024-09-13,151.81068420410156,152.56608216939625,False
31,AFG,36,20,0.5555555555555556,17,23,0.7391304347826086,-0.002042624657365514,134.27000427246094,2024-09-13,132.20904541015625,131.9389919540747,False
35,AXS,36,23,0.6388888888888888,19,26,0.7307692307692307,1.0762067284777023e-05,77.66999816894531,2024-09-13,75.03880058288574,75.03960815550657,False
44,TRN,36,25,0.6944444444444444,13,18,0.7222222222222222,-0.0025367831694560797,31.899999618530273,2024-09-13,33.26826477050781,33.18387039636098,True
4,SBUX,36,23,0.6388888888888888,17,24,0.7083333333333334,-0.0029787751631670327,98.56999969482422,2024-09-13,85.67440124511718,85.41919646656902,False
38,CNI,36,24,0.6666666666666666,12,17,0.7058823529411765,-0.0016138490772302989,118.7699966430664,2024-09-13,115.92200416252997,115.73492354308159,False
20,XLF,36,23,0.6388888888888888,16,23,0.6956521739130435,0.0015344799496825109,44.5099983215332,2024-09-13,43.45084842296136,43.51752287866309,False
42,QSR,36,24,0.6666666666666666,11,16,0.6875,0.001248939732438147,69.18000030517578,2024-09-13,70.46389945983887,70.55190462357679,True
34,AVNT,36,23,0.6388888888888888,17,25,0.68,-0.003220189298031818,47.119998931884766,2024-09-13,46.4680395810841,46.31840369732458,False
46,WSO,36,25,0.6944444444444444,11,17,0.6470588235294118,-0.002471491356196265,476.7099914550781,2024-09-13,462.12208834051984,460.9799575936789,False
26,XLE,36,23,0.6388888888888888,7,11,0.6363636363636364,-0.0008970685433796232,85.58999633789062,2024-09-13,89.88929962158203,89.80866275850508,True
10,HPE,36,26,0.7222222222222222,7,11,0.6363636363636364,0.0030175858599933054,17.149999618530273,2024-09-13,18.82669994354248,18.88351112708245,True
5,VAC,36,25,0.6944444444444444,8,13,0.6153846153846154,-0.007949269084880375,73.29000091552734,2024-09-13,75.76881608670885,75.16650937939279,True
15,JCI,36,21,0.5833333333333334,14,23,0.6086956521739131,0.0024572021841916484,72.55000305175781,2024-09-13,68.95108795166016,69.12051471557736,False
32,ARCC,36,23,0.6388888888888888,8,14,0.5714285714285714,0.00021354794411969168,20.3700008392334,2024-09-13,-321.1982201177417,-321.2668113373027,False
14,CSCO,36,22,0.6111111111111112,14,25,0.56,0.002011780949314694,49.79999923706055,2024-09-13,49.86605827302832,49.96637785907942,True
28,NVDA,36,23,0.6388888888888888,8,15,0.5333333333333333,0.007270576921720595,119.0999984741211,2024-09-13,2948.9309242803974,2970.3713534022186,True
19,XLY,36,20,0.5555555555555556,8,15,0.5333333333333333,0.0031256898142042354,192.47999572753906,2024-09-13,175.97736717003656,176.52741783413043,False
0,AAPL,36,22,0.6111111111111112,9,18,0.5,-0.001651476519934702,222.5,2024-09-13,222.26490310668945,221.8978378380032,False
17,XLK,36,22,0.6111111111111112,7,15,0.4666666666666667,0.00883272954440311,220.44000244140625,2024-09-13,208.8336944580078,210.6782660009139,False
40,EMR,36,21,0.5833333333333334,6,13,0.46153846153846156,-0.010586546382111293,102.02999877929688,2024-09-13,105.31867571612008,104.20371467074884,True
1,GOOG,36,24,0.6666666666666666,5,11,0.45454545454545453,-0.003620215403332375,158.3699951171875,2024-09-13,171.8205987548828,171.1985711766606,True
30,ADBE,36,16,0.4444444444444444,8,19,0.42105263157894735,0.0013036513304332021,536.8699951171875,2024-09-13,555.4961962890625,556.2203696444053,True
43,SUN,36,21,0.5833333333333334,4,11,0.36363636363636365,0.001988268270320576,53.5,2024-09-13,54.80470081329346,54.91366726098494,True
